sku,product_type,title,size,images,total_price,sale_price,year_of_fragrance,country_TM,classification,delivery,group_prod
916460,variable,Paco Rabanne Olympea Blossom,50ml,https://u.makeup.com.ua/u/uc/ucdwm3ztntzt.jpg|https://u.makeup.com.ua/6/6x/6xcjdd4cnroq.jpg|https://u.makeup.com.ua/l/lw/lwycwgtefjsf.jpg|https://u.makeup.com.ua/2/2m/2mblsjtfevoi.jpg,2457,2135,2021,Spain,elite,,perfumed water
880857,variable,Versace Dylan Turquoise pour Femme,30ml,https://u.makeup.com.ua/z/zt/ztfzcyyegy6a.jpg|https://u.makeup.com.ua/b/bp/bphbiitv0rls.jpg,1465,1282,2020,Italy,elite,,perfumed water
880858,variable,Versace Dylan Turquoise pour Femme,30ml,https://u.makeup.com.ua/z/zt/ztfzcyyegy6a.jpg|https://u.makeup.com.ua/b/bp/bphbiitv0rls.jpg,1118,,2020,Italy,elite,from EU,perfumed water
880859,variable,Versace Dylan Turquoise pour Femme,50ml,https://u.makeup.com.ua/z/zt/ztfzcyyegy6a.jpg|https://u.makeup.com.ua/b/bp/bphbiitv0rls.jpg,1826,,2020,Italy,elite,,perfumed water
880860,variable,Versace Dylan Turquoise pour Femme,50ml,https://u.makeup.com.ua/z/zt/ztfzcyyegy6a.jpg|https://u.makeup.com.ua/b/bp/bphbiitv0rls.jpg,1582,,2020,Italy,elite,from EU,perfumed water
880861,variable,Versace Dylan Turquoise pour Femme,100ml,https://u.makeup.com.ua/z/zt/ztfzcyyegy6a.jpg|https://u.makeup.com.ua/b/bp/bphbiitv0rls.jpg,2234,,2020,Italy,elite,,perfumed water
880862,variable,Versace Dylan Turquoise pour Femme,100ml,https://u.makeup.com.ua/z/zt/ztfzcyyegy6a.jpg|https://u.makeup.com.ua/b/bp/bphbiitv0rls.jpg,2033,,2020,Italy,elite,from EU,perfumed water
816750,simple,I Heart Revolution Pure Gold,50ml,https://u.makeup.com.ua/o/on/onsfteyhfb5x.png|https://u.makeup.com.ua/y/ym/ymssbjbyin0m.png,315,,2000,UK,proffesional,from EU,perfumed water
518843,variable,Collistar Profumo di Energia,100ml,https://u.makeup.com.ua/z/za/zabif0g74fys.jpg|https://u.makeup.com.ua/n/nr/nrgloodntriu.jpg,959,,2018,Italy,elite| proffesional,,Aromatic water
491261,simple,Caudalie The Des Vignes,400ml,https://u.makeup.com.ua/3/35/35exjuxeh80z.jpg|https://u.makeup.com.ua/c/cu/cugfpzyusjfz.jpg|https://u.makeup.com.ua/2/2q/2q4aszightbx.jpg,804,,2009,France,pharmacy,,Body lotion
87679,simple,Ga-De Icon Vanilla Black,30ml,https://u.makeup.com.ua/6/6o/6ouebwcltez5.jpg|https://u.makeup.com.ua/k/kz/kzjdxnydf5vy.jpg,814,,2000,Israel,middle market,,Perfumed oil
509769,simple,Emper Chifon,10ml,https://u.makeup.com.ua/z/zh/zhx3iudouu23.jpg|https://u.makeup.com.ua/a/ag/agaojkrydvll.jpg,184,147,2000,UAE,middle market,,Perfumed oil
104426,simple,Acca Kappa White Moss,75ml,https://u.makeup.com.ua/m/ml/ml4nczqazco0.jpg,644,508,2008,Italy,niche,,Deodorant stick
774708,simple,Atkinsons Rose in Wonderland,30ml,https://u.makeup.com.ua/t/t2/t2orz2796myh.jpg|https://u.makeup.com.ua/c/cv/cvdqgrxf4jny.jpg,2801,,2014,UK,niche,,Perfumed oil
36187,simple,Pacifica Waikiki Pikake,10g,https://u.makeup.com.ua/8/8l/8lzfzcbjx3am.jpg|https://u.makeup.com.ua/c/cm/cm6bzuogzif2.jpg|https://u.makeup.com.ua/q/q7/q758wpulp9nm.jpg,530,,2011,USA,naturally,,Dry perfume
